Plot Price,Address,Locality,Bed Info,Area Info,Full Bath,Half Bath,Lot Size
725000.00,0 Gateway,"Rock Springs, WY 82901",NULL,NULL,NULL,NULL,
452900.00,1003 Winchester Blvd.,"Rock Springs, WY 82901",4,NULL,4,NULL,0.21 Acres
396900.00,600 Talladega,"Rock Springs, WY 82901",5,"3,154",3,NULL,
389900.00,3239 Spearhead Way,"Rock Springs, WY 82901",4,"3,076",3,1,"Under 1/2 Acre, "
254000.00,522 Emerald Street,"Rock Springs, WY 82901",3,"1,172",3,NULL,"Under 1/2 Acre, "
252900.00,1302 Veteran's Drive,"Rock Springs, WY 82901",4,"1,932",2,NULL,0.27 Acres
210000.00,1021 Cypress Cir,"Rock Springs, WY 82901",4,"1,676",3,NULL,"Under 1/2 Acre, "
209000.00,913 Madison Dr,"Rock Springs, WY 82901",3,"1,344",2,NULL,"Under 1/2 Acre, "
199900.00,1344 Teton Street,"Rock Springs, WY 82901",3,"1,920",2,NULL,"Under 1/2 Acre, "
196900.00,4 Minnies Lane,"Rock Springs, WY 82901",3,"1,664",2,NULL,2.02 Acres
1700000.00,9339 Sd 26900,"Rocksprings, TX 78880",NULL,"2,560",NULL,NULL,
1100000.00,RR674P13 Hwy 377,"Rocksprings, TX 78880",NULL,"2,000",NULL,NULL,
1080000.00,0 Hwy 41,"Rocksprings, TX 78880",NULL,NULL,NULL,NULL,
908350.00,9339 Sd 26900,"Rocksprings, TX 78880",NULL,"2,560",NULL,NULL,
905000.00,CR450 Hwy 377,"Rocksprings, TX 78880",NULL,NULL,NULL,NULL,
695000.00,Cr 240 Cr 240,"Rocksprings, TX 78880",NULL,"1,398",NULL,NULL,
605000.00,RR674 Hwy 377,"Rocksprings, TX 78880",NULL,"1,738",NULL,NULL,
559805.00,9770a Sd 26900,"Rocksprings, TX 78880",NULL,"1,080",NULL,NULL,
504000.00,Lot17 CR 2630,"Rocksprings, TX 78880",NULL,NULL,NULL,NULL,
410000.00,"Tr12,16 CR 520","Rocksprings, TX 78880",NULL,NULL,NULL,NULL,
299900.00,32575 S Shadow Mountain Road,"Black Canyon City, AZ 85324",3,"2,318",2,NULL,
167500.00,32750 S Shangrila Drive,"Black Canyon City, AZ 85324",3,"2,120",2,NULL,
150000.00,0000 Black Canyon Highway,"Black Canyon City, AZ 85324",NULL,NULL,NULL,NULL,5 Acres
129500.00,34775 S CHOLLA Drive,"Black Canyon City, AZ 85324",3,"1,220",2,NULL,
129000.00,33403 S. HA-WA-SI TERRACE,"BLACK CANYON CITY, AZ 85324",4,"2,000",2,NULL,
80000.00,34263 S Bertha Street,"Black Canyon City, AZ 85324",5,"2,260",2,NULL,
77900.00,33160 S Canyon Road,"Black Canyon City, AZ 85324",3,"1,248",2,NULL,
70500.00,19421 E Todd Evans Road,"Black Canyon City, AZ 85324",3,"1,404",2,NULL,
70000.00,18688 E AGUA Vista,"Black Canyon City, AZ 85324",NULL,NULL,NULL,NULL,0.7 Acres
67500.00,50600 N Old Black Canyon Road,"Black Canyon City, AZ 85324",NULL,NULL,NULL,NULL,3 Acres
54900.00,20101 E SQUAW VALLEY Road,"Black Canyon City, AZ 85324",NULL,NULL,NULL,NULL,
45600.00,33259 S Canyon Road,"Black Canyon City, AZ 85324",3,"1,056",1,NULL,
40000.00,34558 S ROADRUNNER RD,"Black Canyon City, AZ 85324",2,784,1,NULL,Under 1/2 Acre
30000.00,19260 E Scenic Loop Road,"Black Canyon City, AZ 85324",NULL,NULL,NULL,NULL,2.35 Acres
29000.00,19000 E MAREN Avenue,"Black Canyon City, AZ 85324",NULL,NULL,NULL,NULL,2.05 Acres
28995.00,19350 E SAGUARO Drive,"Black Canyon City, AZ 85324",NULL,NULL,NULL,NULL,0.73 Acres
15000.00,20650 E Amethyst Place,"Black Canyon City, AZ 85324",NULL,NULL,NULL,NULL,0.31 Acres
